topic0,autos,auto,fahrzeug,herstell,pkw,autoindustri,kfz,vda,diesel,fahr,lit,pro,autofahr,verbrauch,automobilindustri,motor,wag,kilomet,benzin,gottschalk,branch,steu,neuwag,autoherstell,abwrackprami,iaa,modell,gramm,neuzulass,schwer,automobil,sparsam,fahrt,verband,kraftstoff,zugelass,adac,je,umweltfreund,handl,nutzfahrzeug,antrieb,hybrid,grenzwert,prami,sixt,kost,batteri,einheit,benzinpreis,verkauft,autokauf,einfuhr,absatz,strass,ps,entsprech,erreich,kauf,zulass,main,teur,acht,deutschen_hersteller,sprit,ausstoss,technisch,verkehr,alternativ,werkstatt,verband_der_automobilindustrie,automarkt,elektroautos,rad,fahrrad,kraftfahrzeug,durchschnitt,autobranch,bring,tankstell,brennstoffzell,treibstoff,cent,autobau,nachfrag,katalysator,senk,tempolimit,mobilitat,automobilherstell,flott,gesamt,bislang,motorrad,technik,belast,biodiesel,importeur,dieselmotor,autovermiet
 ,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic110,ig_metall,metall,gewerkschaft,arbeitgeb,stund,betrieb,tarifvertrag,arbeitszeit,ig,beschaftigt,arbeitnehm,lohn,tarifpolit,tarifrund,gesamtmetall,abschluss,tarif,zwickel,arbeitgeberverband,tarifabschluss,chemi,tarifpartei,elektroindustri,metallindustri,arbeitsplatz,vereinbar,lohnerhoh,vereinbart,flachentarifvertrag,uberstund,arbeitszeitverkurz,branch,betriebsrat,flexibl,tarifverhandl,altersteilzeit,stumpf,regel,lohnausgleich,tarifpartn,gehalt,wochenarbeitszeit,flachentarif,klaus_zwickel,mehrarbeit,westdeutsch,bezirksleit,lohnpolit,verhandl,offnungsklauseln,vorstand,arbeitskampf,lohnforder,bezirk,lohnabschluss,voll,verzicht,weihnachtsgeld,moderat,beschaft,tarifautonomi,flexibilisier,jürgen_peters,belegschaft,lohnrund,einmalzahl,bündnis_für_arbeit,abweich,erhoh,beschaftigungssicher,produktivitat,ig_bce,arbeitskost,spielraum,streik,verkurz,kurz,laufzeit,ig_chemie,lohnsteiger,modell,berthold_huber,flexibilitat,tarifvertragspartei,betriebsvereinbar,mitglied,entgelt,losung,angebot,hannov,regional,einkomm,zweit,lohnfortzahl,main,tariferhoh,freizeit,einzeln,metallarbeitgeb,arbeitszeitkont
 ,0.044,0.033,0.029,0.027,0.023,0.022,0.019,0.017,0.016,0.014,0.012,0.011,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic111,konjunktur,aufschwung,erhol,prognos,konjunkturell,optimist,rechn,rechnet,kommenden_jahr,weltwirtschaft,beleb,wirtschaftswachstum,nächsten_jahr,einschatz,kraftig,anhalt,aussicht,anzieh,steigend,konsum,nachfrag,investition,rezession,wachs,arbeitsmarkt,zuversicht,steig,optimismus,anzeich,impuls,hoffnung,langsam,abschwach,export,prognostiziert,nachhalt,weltkonjunktur,spurbar,binnennachfrag,unsich,risik,weiterhin,kommende_jahr,robust,vorsicht,chefvolkswirt,wachstumsrat,moderat,fahrt,auswirk,deutsche_wirtschaft,wachstumsprognos,schwung,dynam,zweiten_halbjahr,allmah,abschwung,dampf,besser,talsohl,nachlass,verbrauch,fortsetz,zweiten_jahreshälfte,laufenden_jahr,stagnation,gunstig,dah,sink,olpreis,prozent_wachstum,ausfall,zuleg,profiti,zunehm,stutz,verhalt,sicht,sinkend,abkuhl,trendwend,voraus,stabil,binnenkonjunktur,konjunkturaufschw,stimmung,ruckgang,verlangsam,unt,konjunkturerhol,jahres,belast,fruhjahr,wirtschaftsaufschw,aufwart,dennoch,anstieg,uberwund,brems,anspring
 ,0.051,0.041,0.021,0.019,0.017,0.015,0.014,0.014,0.013,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic112,landwirtschaft,bau,verbrauch,landwirt,gentechn,bse,produkt,tier,grun,fleisch,milch,lebensmittel,entsorg,syst,verandert,betrieb,tonn,bauernverband,pflanz,agrarpolit,kunast,okolog,handel,bio,hektar,verbraucherschutz,verpack,dual,umwelt,anbau,rind,abfall,getreid,stoff,produktion,agrar,verwert,agrarminist,verbot,pfand,flach,dosenpfand,pro,kilogramm,recycling,lebensmitteln,oko,mais,landwirtschaftsminist,dos,herstell,ernt,meng,ernahr,kennzeichn,landlich,gen,kost,verpackungsverordn,chemikali,renate_künast,erzeug,jahrlich,rohstoff,borchert,verordn,mull,verband,gesund,milchbau,agrarreform,einfuhr,kuh,aign,schwein,hof,dsd,millionen_tonnen,wald,dbv,molkerei,ernahrungsindustri,preis,hergestellt,quot,verwend,feld,cent,bod,test,kas,einsatz,zuck,produziert,ministerin,nahrungsmittel,boel,seehof,verwendet,umweltschutz
 ,0.026,0.023,0.015,0.013,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic113,streit,konflikt,hart,druck,widerstand,droht,position,off,auseinandersetz,versuch,heftig,interess,versucht,front,lini,verhind,gegn,seit,drohung,ton,durchsetz,kompromiss,offenbar,umstritt,sach,scharf,thema,losung,liess,bemuht,drang,darub,setz,kur,erbittert,konfrontation,wochen,vermeid,durchzusetz,droh,spannung,massiv,mocht,scheit,arg,gegenseit,darum,such,treff,ring,alleingang,zugestandnis,blocki,befurwort,gedroht,wirft,verscharft,notfall,intern,unterstutz,vorgeh,ruck,differenz,blockiert,machtkampf,nachd,furchtet,tisch,blockad,verhaltnis,ablehn,wollt,zwing,akzepti,vorstoss,entscharf,verlang,wunsch,gescheitert,verargert,ford,lehnt,wiederum,vehement,beend,kuliss,offensicht,argument,strikt,gerat,hintergrund,find,geschloss,ausgetrag,kreis,verhindert,zerstritt,los,auss,schwer
 ,0.052,0.024,0.019,0.015,0.014,0.014,0.012,0.011,0.011,0.01,0.01,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic114,japan,tokio,yen,nikkei,ldp,fuhrend,bill,koizumi,nippon,ministerprasident,mitsubishi,billionen_yen,hashimoto,april,marz,fiskaljahr,of,ga,zweitgrosst,tokiot,gerechnet,finanzministerium,liberaldemokrat,massiv,asiat,milliarden_yen,erstmal,obuchi,toyota,drastisch,japanische_regierung,bank_von_japan,niveau,asi,securiti,miyazawa,daneb,junichiro_koizumi,montag,umgerechnet,anhalt,finanzminist,nomura,kommend,boj,tokyo,mori,aktienmarkt,aso,corp,laufend,massgeb,hosokawa,tokios,markant,deregulier,hierbei,sumitomo,aufwert,miti,deflation,matsushita,ryutaro,ledig,kob,sektion,abe,septemb,topix,offiziell,tankan,konjunkturprogramm,problemkredit,ntt,sony,demgegenub,tokioter_börse,shimbun,sieb,ende_märz,finanzinstitut,hierzu,research,juli,electric,fernost,fuhrt,honda,vorerst,co,koizumis,osaka,punkt,inland,mitsui,gekomm,fuji,ausweit,uhr_ortszeit,strukturreform
 ,0.243,0.052,0.048,0.012,0.009,0.008,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic115,sparkass,landesbank,institut,westlb,kreditinstitut,rechtlich,kund,privat,genossenschaft,bilanzsumm,geschaft,raiffeisenbank,kreditwirtschaft,bayernlb,lbbw,volksbank,kart,fusion,genossenschaftsbank,volk,verbund,risikovorsorg,lb,giroverband,vorstand,regional,kreditkart,privatbank,einlag,eigentum,kreditgeschaft,grossbank,zahlungsverkehr,bvr,privaten_banken,filial,helaba,dusseldorf,verband,beteil,dsgv,haus,beteiligt,deutscher_banken,wegfall,zentral,bankenverband,bankgesellschaft,hsh_nordbank,konsolidier,kredit,dg_bank,sparkassenverband,vorstandsvorsitz,hoppenstedt,saul,bankgeschaft,engagement,dz_bank,bankgesellschaft_berlin,finanzgrupp,deutschen_banken,visa,geschaftsmodell,bdb,garanti,betriebsergebnis,modell,gesamt,bundesverband,tatig,geldinstitut,vorstandschef,landesbank_baden,grupp,ertrag,trag,haasis,wgz,nordlb,kreditgewerb,vorstandsmitglied,zusammenarbeit,bankenaufsicht,bewert,struktur,uberweis,zusammenschluss,einheit,zinsuberschuss,wettbewerb,main,gehor,sparkassenorganisation,verbind,einzeln,kooperation,mittelstand,geschaftsbank,gebuhr
 ,0.054,0.03,0.028,0.02,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic116,arbeitnehm,mindestlohn,beschaftigt,beschaft,arbeitgeb,lohn,job,gesetz,arbeitsplatz,kundigungsschutz,branch,schwarzarbeit,betrieb,regel,befristet,zeitarbeit,arbeitsmarkt,bau,ig_bau,geringfug,tarifvertrag,arbeitsverhaltnis,stund,kundig,arbeitsrecht,einfuhr,tatig,entsendegesetz,gewerkschaft,tarif,arbeitsvertrag,arbeitslos,bauarbeit,gleich,entlass,gelt,bezahlt,leiharbeit,abfind,einstell,neuregel,arbeitskraft,baustell,angestellt,sozialversicherungspflicht,teilzeitarbeit,beschaftigungsverhaltnis,baugewerb,flexibl,bezahl,ausweit,regular,bauwirtschaft,arbeitszeit,gezahlt,wiesehugel,flexibilitat,arbeitet,krankenstand,mindest,stundenlohn,teilzeit,arbeitsbeding,anspruch,vereinbart,sozialversicher,neueinstell,qualifiziert,vereinbar,sozialabgab,minijob,lohndumping,voll,verdi,sozial,tariflohn,billig,gehalt,allgemein,umwelt,scheinselbstand,baubranch,agrar,mini,klaus_wiesehügel,arbeitsminist,adecco,schattenwirtschaft,schlechtwettergeld,verdien,entsprech,allgemeinverbind,arbeitgeberverband,betroff,zeitarbeitsfirm,fest,schutz,beding,verbind,illegal
 ,0.049,0.031,0.029,0.027,0.026,0.022,0.021,0.014,0.014,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic117,wahrungsunion,vertrag,maastricht,wahrung,kriteri,erfull,einfuhr,national,ewwu,start,stabilitat,januar,umstell,erfullt,verschieb,einheit,teilnehm,stabil,teilnahm,beginn,waigel,europäischen_währungsunion,einführung_des_euro,frankreich,beitritt,vorbereit,voraussetz,mitglied,itali,einhalt,munz,europäischen_union,wirtschaftspolit,europäische_währungsunion,rat,strikt,dauerhaft,finanzminist,anfang,festgelegt,stuf,konvergenzkriteri,elf,beding,europas,ews,unterschied,konvergenz,ewi,ewu,dritt,mitgliedstaat,einheitswahr,diskussion,integration,europäischen_zentralbank,mitgliedsland,eintritt,zeitplan,euros,einführung_des_euros,burg,unabhang,finanzpolit,belgi,vorteil,kriterium,eng,zweifel,fest,ubergang,vertrag_von_maastricht,gemeinsame_währung,zon,bargeld,euroland,automat,punktlich,de,wechselkurs,bevolker,bundesfinanzminister_theo_waigel,einzeln,notwend,gemeinschaft,irland,weich,gemeinschaftswahr,wahrungsinstitut,hart,durf,eg,glaubwurd,banknot,beschaftigungspolit,niederland,partn,stabilitatskriteri,innerhalb,ecu
 ,0.049,0.026,0.025,0.021,0.018,0.013,0.013,0.011,0.011,0.011,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic118,vorstand,aufsichtsrat,manag,aktionar,konzern,hauptversamml,konz,vorstandschef,vorstandsvorsitz,management,gehalt,conti,abb,aufsichtsratschef,vorstandsmitglied,schaeffl,ag,aufsichtsratsvorsitz,mitarbeit,pier,verantwort,konzernchef,mg,grossaktionar,losch,continental,vertret,anteilseign,top,finanzvorstand,spitz,vergut,fuhrung,finanzchef,bezug,verwaltungsrat,dsw,abfind,spart,geschaft,vertrag,kleinaktionar,ehemal,aktiengesellschaft,heinrich_von_pierer,munch,sharehold,aktienoption,dax,umbau,fuhrungskraft,unternehmensfuhr,spitzenmanag,strategi,babcock,aktienkur,kontrollgremium,sitz,valu,ubernahm,kleinfeld,managergehalt,kur,aufsichtsratssitz,verdient,gefuhrt,person,reitzl,wennem,vdo,corporat,metallgesellschaft,aufsichtsratsmitglied,operativ,mannesmann,vorgang,topmanag,mai,borsennotiert,neukirch,governanc,sdk,ausserordent,off,insid,deutschen_schutzvereinigung_für_wertpapierbesitz,arbeitnehmervertret,langfrist,mitglied,option,gremium,umfeld,wechsel,hannov,aktionarsschutz,sitzt,verdi,konzernspitz,offenbar,unternehmer
 ,0.063,0.048,0.039,0.03,0.021,0.02,0.02,0.018,0.013,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic119,durchschnitt,pro,anteil,platz,vergleich,kopf,drittel,schnitt,vergangenen_jahr,einkomm,rang,halft,grossbritanni,je,sieb,jahrlich,abstand,gemess,gestieg,statist,acht,unterschied,frankreich,quot,viertel,spitz,zwolf,doppelt,bundesrepubl,relativ,gefolgt,betragt,vergang,gesamt,jeweil,neun,ledig,belegt,elf,rangiert,nimmt,hinterh,vorn,spitzenreit,entspricht,betrug,einwohn,niederland,viert,best,vergangenen_jahren,ranglist,internationalen_vergleich,schlusslicht,folgt,itali,innerhalb,uberdurchschnitt,funftel,studi,immerhin,steigt,zahlt,verdoppelt,trend,list,erheb,inzwisch,absolut,steig,bevolker,funft,niveau,ranking,haushalt,mittelfeld,ubrig,vergleichsweis,berechn,danach,top,vergleichbar,hinkt,verhaltnis,gesunk,erhoht,anderen_ländern,hingeg,irland,erreich,mittl,belgi,mal,dritt,obwohl,verglich,beleg,spitzenplatz,verfugbar,nahezu
 ,0.041,0.04,0.034,0.031,0.022,0.017,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic120,wahl,partei,wahlkampf,stimm,kandidat,sieg,umfrag,bundestagswahl,mehrheit,burg,sozialdemokrat,landtagswahl,gewahlt,verlor,link,spitzenkandidat,wahlsieg,septemb,niederlag,chanc,wahlergebnis,anhang,erfolg,kommunalwahl,herausford,mitt,prozent_der_stimmen,renn,liberal,them,konservativ,kampagn,kopf,gewonn,kampf,vorsprung,sitz,verlust,wahlbeteil,prozentpunkt,europawahl,person,hurd,jahrig,absolute_mehrheit,wahlkreis,abschneid,duell,verli,vorn,erstmal,volkspartei,diesmal,entschied,bewerb,punkt,arbeitslos,regi,bild,wahlausgang,wahlt,christdemokrat,thema,stimmung,einzug,dvu,amtsinhab,wahltag,union,burgermeist,ausgang,bundespolit,mandat,stichwahl,gewinnt,großen_parteien,erzielt,gegn,meinungsumfrag,wechsel,erfolgreich,schwan,platz,antret,traditionell,kandidatur,wiederwahl,kandidatin,versprech,amtier,große_koalition,off,hochrechn,republikan,wahlerfolg,rechtsextrem,uberrasch,erhielt,wahlberechtigt,direkt
 ,0.069,0.041,0.034,0.018,0.016,0.014,0.012,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic121,partei,parteitag,link,lafontain,sozialdemokrat,delegiert,parteichef,oskar_lafontaine,scharping,mitglied,parteivorsitz,debatt,kur,muntefering,sozial,programm,spitz,generalsekretar,wahl,samstag,fuhrung,basis,kritik,red,stellvertret,diskussion,wirtschaftspolit,vorstand,geschloss,agenda,antrag,inhalt,kongress,kanzlerkandidat,genoss,landesverband,parteispitz,bundestagswahl,position,profil,franz_müntefering,verabschiedet,prasidium,bundesparteitag,leitantrag,sonderparteitag,parteifuhr,fraktionschef,flugel,wochen,rudolf_scharping,innerpartei,gewahlt,linkspartei,gerhard_schröder,gerecht,grundsatzprogramm,programmat,montag,papi,beschluss,mehrheit,bundesvorstand,mitt,landesvorsitz,parteivorstand,auseinandersetz,wahlprogramm,kampf,off,niedersachs,erneuer,bundestagsabgeordnet,parteilink,stimm,scharf,beifall,engholm,beschloss,wort,bundesgeschaftsfuhr,woll,fraktion,landesparteitag,wahlkampf,sozialdemokrati,unterstutz,landtagswahl,fuhrend,viz,leipzig,bundesvorsitz,soziale_gerechtigkeit,sozialpolit,them,zustimm,lini,durf,mittelpunkt,volkspartei
 ,0.058,0.033,0.025,0.024,0.02,0.019,0.012,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic122,studi,bericht,untersuch,zufolg,veroffentlicht,analys,dat,auftrag,erheb,hervor,vorgelegt,untersucht,demnach,gutacht,danach,aktuell,autor,vorgestellt,gegeb,unterschied,fest,vergleich,schluss,einschatz,genannt,erstellt,report,ansicht,schreibt,durchschnitt,ergeb,haufig,zunehm,bedeut,empfehl,beleg,wesent,einzeln,ledig,auswirk,festgestellt,jahrlich,verschied,tatsach,bestatigt,schreib,darin,nennt,berucksichtigt,fazit,weist,empfiehlt,belegt,erkenntnis,ergab,aussag,hingeg,bewertet,vorliegt,zeitraum,enthalt,ausserd,seit,zusammenhang,vorlieg,negativ,bewert,grundlag,vergang,angenomm,ermittelt,kritisch,jahresbericht,berechn,analysiert,annahm,veroffentlich,umfass,daraus,unzureich,verglich,zahlreich,forsch,beispielsweis,ahnlich,weis,erlautert,auswert,teilweis,entsprech,legt,vorlag,betracht,dritt,regelmass,hervorgeht,umfangreich,lautet,stutzt,halft
 ,0.104,0.052,0.03,0.025,0.021,0.015,0.013,0.012,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic123,schuld,insolvenz,pleit,finanziell,kredit,glaubig,hilf,sanier,verschuld,konkur,burgschaft,verlust,verschuldet,angeschlag,gerat,verbind,rettung,staatlich,fallig,betroff,zahlungsunfah,rechnung,rett,schwierig,insolvenzverwalt,zahlung,schuldn,gestellt,ruckzahl,insolvent,drohend,zusammenbruch,droht,bezahl,insolvenzverfahr,problem,helf,situation,uberleb,creditreform,schuldenberg,bankrott,anmeld,ubernomm,uberschuldet,verpflicht,gesichert,altschuld,firm,kurzfrist,begleich,rodl,beantragt,bezahlt,firmenpleit,antrag,bedroht,glaubigerbank,zahlungsmoral,zuruckzahl,bekomm,gerettet,staatshilf,schwer,schieflag,not,zins,ubernehm,summ,zunach,gewahrt,verlor,inzwisch,schuldenlast,pleitewell,vorlauf,sani,insolvenzantrag,uberschuld,angemeldet,meldet,verfahr,anspruch,sofort,gefahrdet,konkurs,losung,bedi,aussteh,umschuld,finanzspritz,dramat,mindest,last,gezahlt,zahlt,insolvenzrecht,kreditgeb,darleh,aussicht
